2025-06-03 16:25:52,900 - 开始训练
2025-06-03 16:25:52,901 - 观察空间维度: 3, 动作空间大小: 21
2025-06-03 16:25:53,539 - Episode 0, Reward: -3571.00, Epsilon: 1.000
2025-06-03 16:25:53,631 - Episode 1, Reward: -4925.00, Epsilon: 0.831
2025-06-03 16:25:53,674 - Episode 2, Reward: -3764.50, Epsilon: 0.647
2025-06-03 16:25:53,711 - Episode 3, Reward: -4305.50, Epsilon: 0.503
2025-06-03 16:25:53,748 - Episode 4, Reward: -4026.00, Epsilon: 0.392
2025-06-03 16:25:53,786 - Episode 5, Reward: -4272.50, Epsilon: 0.305
2025-06-03 16:25:53,823 - Episode 6, Reward: -5037.00, Epsilon: 0.237
2025-06-03 16:25:53,861 - Episode 7, Reward: -3984.00, Epsilon: 0.185
2025-06-03 16:25:53,897 - Episode 8, Reward: -4178.50, Epsilon: 0.144
2025-06-03 16:25:53,933 - Episode 9, Reward: -4191.50, Epsilon: 0.112
2025-06-03 16:25:53,970 - Episode 10, Reward: -4084.50, Epsilon: 0.087
2025-06-03 16:25:54,009 - Episode 11, Reward: -4357.00, Epsilon: 0.068
2025-06-03 16:25:54,046 - Episode 12, Reward: -4076.50, Epsilon: 0.053
2025-06-03 16:25:54,086 - Episode 13, Reward: -4394.50, Epsilon: 0.050
2025-06-03 16:25:54,123 - Episode 14, Reward: -3653.50, Epsilon: 0.050
2025-06-03 16:25:54,160 - Episode 15, Reward: -4265.50, Epsilon: 0.050
2025-06-03 16:25:54,198 - Episode 16, Reward: -4140.50, Epsilon: 0.050
2025-06-03 16:25:54,237 - Episode 17, Reward: -4074.50, Epsilon: 0.050
2025-06-03 16:25:54,276 - Episode 18, Reward: -4148.50, Epsilon: 0.050
2025-06-03 16:25:54,313 - Episode 19, Reward: -3633.00, Epsilon: 0.050
2025-06-03 16:25:54,352 - Episode 20, Reward: -3863.50, Epsilon: 0.050
2025-06-03 16:25:54,392 - Episode 21, Reward: -4211.50, Epsilon: 0.050
2025-06-03 16:25:54,437 - Episode 22, Reward: -3135.00, Epsilon: 0.050
2025-06-03 16:25:54,480 - Episode 23, Reward: -3981.00, Epsilon: 0.050
2025-06-03 16:25:54,519 - Episode 24, Reward: -4357.00, Epsilon: 0.050
2025-06-03 16:25:54,558 - Episode 25, Reward: -4007.00, Epsilon: 0.050
2025-06-03 16:25:54,596 - Episode 26, Reward: -4049.00, Epsilon: 0.050
2025-06-03 16:25:54,634 - Episode 27, Reward: -3754.00, Epsilon: 0.050
2025-06-03 16:25:54,672 - Episode 28, Reward: -3944.00, Epsilon: 0.050
2025-06-03 16:25:54,711 - Episode 29, Reward: -4343.50, Epsilon: 0.050
2025-06-03 16:25:54,749 - Episode 30, Reward: -4225.00, Epsilon: 0.050
2025-06-03 16:25:54,788 - Episode 31, Reward: -4896.00, Epsilon: 0.050
2025-06-03 16:25:54,825 - Episode 32, Reward: -4226.00, Epsilon: 0.050
2025-06-03 16:25:54,863 - Episode 33, Reward: -4078.50, Epsilon: 0.050
2025-06-03 16:25:54,900 - Episode 34, Reward: -3383.50, Epsilon: 0.050
2025-06-03 16:25:54,937 - Episode 35, Reward: -4510.00, Epsilon: 0.050
2025-06-03 16:25:54,975 - Episode 36, Reward: -3819.00, Epsilon: 0.050
2025-06-03 16:25:55,012 - Episode 37, Reward: -3874.00, Epsilon: 0.050
2025-06-03 16:25:55,050 - Episode 38, Reward: -4362.50, Epsilon: 0.050
2025-06-03 16:25:55,087 - Episode 39, Reward: -4226.50, Epsilon: 0.050
2025-06-03 16:25:55,125 - Episode 40, Reward: -3948.50, Epsilon: 0.050
2025-06-03 16:25:55,163 - Episode 41, Reward: -3780.00, Epsilon: 0.050
2025-06-03 16:25:55,201 - Episode 42, Reward: -3890.50, Epsilon: 0.050
2025-06-03 16:25:55,240 - Episode 43, Reward: -4661.50, Epsilon: 0.050
2025-06-03 16:25:55,277 - Episode 44, Reward: -4175.00, Epsilon: 0.050
2025-06-03 16:25:55,315 - Episode 45, Reward: -3842.50, Epsilon: 0.050
2025-06-03 16:25:55,354 - Episode 46, Reward: -4741.00, Epsilon: 0.050
2025-06-03 16:25:55,393 - Episode 47, Reward: -4530.00, Epsilon: 0.050
2025-06-03 16:25:55,431 - Episode 48, Reward: -4173.50, Epsilon: 0.050
2025-06-03 16:25:55,470 - Episode 49, Reward: -4814.00, Epsilon: 0.050
2025-06-03 16:25:55,508 - Episode 50, Reward: -3892.00, Epsilon: 0.050
2025-06-03 16:25:55,546 - Episode 51, Reward: -4296.00, Epsilon: 0.050
2025-06-03 16:25:55,585 - Episode 52, Reward: -4599.50, Epsilon: 0.050
2025-06-03 16:25:55,623 - Episode 53, Reward: -4099.00, Epsilon: 0.050
2025-06-03 16:25:55,662 - Episode 54, Reward: -4565.00, Epsilon: 0.050
2025-06-03 16:25:55,700 - Episode 55, Reward: -3921.00, Epsilon: 0.050
2025-06-03 16:25:55,738 - Episode 56, Reward: -4587.00, Epsilon: 0.050
2025-06-03 16:25:55,776 - Episode 57, Reward: -3721.00, Epsilon: 0.050
2025-06-03 16:25:55,812 - Episode 58, Reward: -3853.00, Epsilon: 0.050
2025-06-03 16:25:55,849 - Episode 59, Reward: -4657.00, Epsilon: 0.050
2025-06-03 16:25:55,887 - Episode 60, Reward: -3742.00, Epsilon: 0.050
2025-06-03 16:25:55,925 - Episode 61, Reward: -4090.50, Epsilon: 0.050
2025-06-03 16:25:55,963 - Episode 62, Reward: -4363.00, Epsilon: 0.050
2025-06-03 16:25:56,001 - Episode 63, Reward: -3239.00, Epsilon: 0.050
2025-06-03 16:25:56,039 - Episode 64, Reward: -3642.50, Epsilon: 0.050
2025-06-03 16:25:56,075 - Episode 65, Reward: -4325.50, Epsilon: 0.050
2025-06-03 16:25:56,113 - Episode 66, Reward: -4572.00, Epsilon: 0.050
2025-06-03 16:25:56,150 - Episode 67, Reward: -3352.00, Epsilon: 0.050
2025-06-03 16:25:56,187 - Episode 68, Reward: -4036.00, Epsilon: 0.050
2025-06-03 16:25:56,225 - Episode 69, Reward: -4742.00, Epsilon: 0.050
2025-06-03 16:25:56,263 - Episode 70, Reward: -4166.50, Epsilon: 0.050
2025-06-03 16:25:56,301 - Episode 71, Reward: -3700.00, Epsilon: 0.050
2025-06-03 16:25:56,338 - Episode 72, Reward: -3532.50, Epsilon: 0.050
2025-06-03 16:25:56,375 - Episode 73, Reward: -4721.50, Epsilon: 0.050
2025-06-03 16:25:56,412 - Episode 74, Reward: -4107.00, Epsilon: 0.050
2025-06-03 16:25:56,449 - Episode 75, Reward: -3374.00, Epsilon: 0.050
2025-06-03 16:25:56,486 - Episode 76, Reward: -3564.00, Epsilon: 0.050
2025-06-03 16:25:56,524 - Episode 77, Reward: -3694.00, Epsilon: 0.050
2025-06-03 16:25:56,562 - Episode 78, Reward: -3984.00, Epsilon: 0.050
2025-06-03 16:25:56,601 - Episode 79, Reward: -3973.50, Epsilon: 0.050
2025-06-03 16:25:56,638 - Episode 80, Reward: -4191.00, Epsilon: 0.050
2025-06-03 16:25:56,676 - Episode 81, Reward: -4326.00, Epsilon: 0.050
2025-06-03 16:25:56,713 - Episode 82, Reward: -4093.50, Epsilon: 0.050
2025-06-03 16:25:56,750 - Episode 83, Reward: -4162.50, Epsilon: 0.050
2025-06-03 16:25:56,788 - Episode 84, Reward: -4740.50, Epsilon: 0.050
2025-06-03 16:25:56,825 - Episode 85, Reward: -3732.50, Epsilon: 0.050
2025-06-03 16:25:56,863 - Episode 86, Reward: -4420.00, Epsilon: 0.050
2025-06-03 16:25:56,900 - Episode 87, Reward: -4275.50, Epsilon: 0.050
2025-06-03 16:25:56,937 - Episode 88, Reward: -3695.00, Epsilon: 0.050
